total[50000]:acc[76.07%], correct[38036.0]
158:acc[66.0%], correct[33], total[50]
159:acc[84.0%], correct[42], total[50]
160:acc[94.0%], correct[47], total[50]
161:acc[84.0%], correct[42], total[50]
162:acc[82.0%], correct[41], total[50]
163:acc[54.0%], correct[27], total[50]
164:acc[88.0%], correct[44], total[50]
165:acc[64.0%], correct[32], total[50]
166:acc[76.0%], correct[38], total[50]
167:acc[30.0%], correct[15], total[50]
168:acc[74.0%], correct[37], total[50]
169:acc[96.0%], correct[48], total[50]
170:acc[66.0%], correct[33], total[50]
171:acc[90.0%], correct[45], total[50]
172:acc[80.0%], correct[40], total[50]
173:acc[72.0%], correct[36], total[50]
174:acc[92.0%], correct[46], total[50]
175:acc[64.0%], correct[32], total[50]
176:acc[80.0%], correct[40], total[50]
177:acc[88.0%], correct[44], total[50]
178:acc[92.0%], correct[46], total[50]
179:acc[70.0%], correct[35], total[50]
180:acc[68.0%], correct[34], total[50]
181:acc[94.0%], correct[47], total[50]
182:acc[90.0%], correct[45], total[50]
183:acc[84.0%], correct[42], total[50]
184:acc[76.0%], correct[38], total[50]
185:acc[78.0%], correct[39], total[50]
186:acc[70.0%], correct[35], total[50]
187:acc[64.0%], correct[32], total[50]
188:acc[80.0%], correct[40], total[50]
189:acc[80.0%], correct[40], total[50]
190:acc[86.0%], correct[43], total[50]
191:acc[84.0%], correct[42], total[50]
192:acc[76.0%], correct[38], total[50]
193:acc[64.0%], correct[32], total[50]
194:acc[84.0%], correct[42], total[50]
195:acc[94.0%], correct[47], total[50]
196:acc[70.0%], correct[35], total[50]
197:acc[86.0%], correct[43], total[50]
198:acc[82.0%], correct[41], total[50]
199:acc[76.0%], correct[38], total[50]
200:acc[80.0%], correct[40], total[50]
201:acc[74.0%], correct[37], total[50]
202:acc[70.0%], correct[35], total[50]
203:acc[94.0%], correct[47], total[50]
204:acc[68.0%], correct[34], total[50]
205:acc[88.0%], correct[44], total[50]
206:acc[82.0%], correct[41], total[50]
207:acc[94.0%], correct[47], total[50]
208:acc[82.0%], correct[41], total[50]
209:acc[84.0%], correct[42], total[50]
210:acc[84.0%], correct[42], total[50]
211:acc[78.0%], correct[39], total[50]
212:acc[82.0%], correct[41], total[50]
213:acc[78.0%], correct[39], total[50]
214:acc[90.0%], correct[45], total[50]
215:acc[90.0%], correct[45], total[50]
216:acc[90.0%], correct[45], total[50]
217:acc[94.0%], correct[47], total[50]
218:acc[88.0%], correct[44], total[50]
219:acc[76.0%], correct[38], total[50]
220:acc[72.0%], correct[36], total[50]
221:acc[82.0%], correct[41], total[50]
222:acc[78.0%], correct[39], total[50]
223:acc[86.0%], correct[43], total[50]
224:acc[78.0%], correct[39], total[50]
225:acc[92.0%], correct[46], total[50]
226:acc[62.0%], correct[31], total[50]
227:acc[70.0%], correct[35], total[50]
228:acc[92.0%], correct[46], total[50]
229:acc[94.0%], correct[47], total[50]
230:acc[76.0%], correct[38], total[50]
231:acc[62.0%], correct[31], total[50]
232:acc[76.0%], correct[38], total[50]
233:acc[80.0%], correct[40], total[50]
234:acc[94.0%], correct[47], total[50]
235:acc[86.0%], correct[43], total[50]
236:acc[78.0%], correct[39], total[50]
237:acc[80.0%], correct[40], total[50]
238:acc[68.0%], correct[34], total[50]
239:acc[96.0%], correct[48], total[50]
240:acc[38.0%], correct[19], total[50]
241:acc[70.0%], correct[35], total[50]
242:acc[74.0%], correct[37], total[50]
243:acc[84.0%], correct[42], total[50]
244:acc[90.0%], correct[45], total[50]
245:acc[88.0%], correct[44], total[50]
246:acc[70.0%], correct[35], total[50]
247:acc[94.0%], correct[47], total[50]
248:acc[52.0%], correct[26], total[50]
249:acc[80.0%], correct[40], total[50]
250:acc[72.0%], correct[36], total[50]
251:acc[96.0%], correct[48], total[50]
252:acc[90.0%], correct[45], total[50]
253:acc[90.0%], correct[45], total[50]
254:acc[92.0%], correct[46], total[50]
255:acc[100.0%], correct[50], total[50]
256:acc[86.0%], correct[43], total[50]
257:acc[86.0%], correct[43], total[50]
258:acc[98.0%], correct[49], total[50]
259:acc[96.0%], correct[48], total[50]
260:acc[90.0%], correct[45], total[50]
261:acc[90.0%], correct[45], total[50]
262:acc[92.0%], correct[46], total[50]
263:acc[88.0%], correct[44], total[50]
264:acc[82.0%], correct[41], total[50]
265:acc[66.0%], correct[33], total[50]
266:acc[40.0%], correct[20], total[50]
267:acc[86.0%], correct[43], total[50]
268:acc[94.0%], correct[47], total[50]
269:acc[72.0%], correct[36], total[50]
270:acc[88.0%], correct[44], total[50]
271:acc[58.0%], correct[29], total[50]
272:acc[62.0%], correct[31], total[50]
273:acc[78.0%], correct[39], total[50]
274:acc[94.0%], correct[47], total[50]
275:acc[100.0%], correct[50], total[50]
276:acc[94.0%], correct[47], total[50]
277:acc[60.0%], correct[30], total[50]
278:acc[70.0%], correct[35], total[50]
279:acc[96.0%], correct[48], total[50]
280:acc[70.0%], correct[35], total[50]
281:acc[50.0%], correct[25], total[50]
282:acc[24.0%], correct[12], total[50]
283:acc[90.0%], correct[45], total[50]
284:acc[94.0%], correct[47], total[50]
285:acc[64.0%], correct[32], total[50]
286:acc[94.0%], correct[47], total[50]
287:acc[76.0%], correct[38], total[50]
288:acc[84.0%], correct[42], total[50]
289:acc[84.0%], correct[42], total[50]
290:acc[78.0%], correct[39], total[50]
291:acc[96.0%], correct[48], total[50]
292:acc[88.0%], correct[44], total[50]
293:acc[92.0%], correct[46], total[50]
294:acc[92.0%], correct[46], total[50]
295:acc[86.0%], correct[43], total[50]
296:acc[92.0%], correct[46], total[50]
297:acc[76.0%], correct[38], total[50]
298:acc[80.0%], correct[40], total[50]
299:acc[80.0%], correct[40], total[50]
300:acc[94.0%], correct[47], total[50]
301:acc[84.0%], correct[42], total[50]
302:acc[64.0%], correct[32], total[50]
303:acc[74.0%], correct[37], total[50]
304:acc[68.0%], correct[34], total[50]
305:acc[86.0%], correct[43], total[50]
306:acc[92.0%], correct[46], total[50]
307:acc[88.0%], correct[44], total[50]
308:acc[86.0%], correct[43], total[50]
309:acc[78.0%], correct[39], total[50]
310:acc[76.0%], correct[38], total[50]
311:acc[64.0%], correct[32], total[50]
312:acc[64.0%], correct[32], total[50]
313:acc[72.0%], correct[36], total[50]
314:acc[78.0%], correct[39], total[50]
315:acc[82.0%], correct[41], total[50]
316:acc[92.0%], correct[46], total[50]
317:acc[90.0%], correct[45], total[50]
318:acc[82.0%], correct[41], total[50]
319:acc[80.0%], correct[40], total[50]
320:acc[84.0%], correct[42], total[50]
321:acc[94.0%], correct[47], total[50]
322:acc[96.0%], correct[48], total[50]
323:acc[94.0%], correct[47], total[50]
324:acc[96.0%], correct[48], total[50]
325:acc[96.0%], correct[48], total[50]
326:acc[94.0%], correct[47], total[50]
327:acc[88.0%], correct[44], total[50]
328:acc[86.0%], correct[43], total[50]
329:acc[72.0%], correct[36], total[50]
330:acc[74.0%], correct[37], total[50]
331:acc[90.0%], correct[45], total[50]
332:acc[96.0%], correct[48], total[50]
333:acc[100.0%], correct[50], total[50]
334:acc[90.0%], correct[45], total[50]
335:acc[84.0%], correct[42], total[50]
336:acc[88.0%], correct[44], total[50]
337:acc[84.0%], correct[42], total[50]
338:acc[86.0%], correct[43], total[50]
339:acc[96.0%], correct[48], total[50]
340:acc[96.0%], correct[48], total[50]
341:acc[52.0%], correct[26], total[50]
342:acc[86.0%], correct[43], total[50]
343:acc[92.0%], correct[46], total[50]
344:acc[92.0%], correct[46], total[50]
345:acc[62.0%], correct[31], total[50]
346:acc[90.0%], correct[45], total[50]
347:acc[90.0%], correct[45], total[50]
348:acc[68.0%], correct[34], total[50]
349:acc[66.0%], correct[33], total[50]
350:acc[100.0%], correct[50], total[50]
351:acc[98.0%], correct[49], total[50]
352:acc[80.0%], correct[40], total[50]
353:acc[78.0%], correct[39], total[50]
354:acc[98.0%], correct[49], total[50]
355:acc[92.0%], correct[46], total[50]
356:acc[42.0%], correct[21], total[50]
357:acc[72.0%], correct[36], total[50]
358:acc[48.0%], correct[24], total[50]
359:acc[72.0%], correct[36], total[50]
360:acc[80.0%], correct[40], total[50]
361:acc[94.0%], correct[47], total[50]
362:acc[92.0%], correct[46], total[50]
363:acc[88.0%], correct[44], total[50]
364:acc[98.0%], correct[49], total[50]
365:acc[88.0%], correct[44], total[50]
